ZIP_CODE,pop_density_meters,population,population_error,land_area_sq_meter,land_area_error,ZCTA
01937,0.0,176.0,42.0,0.0,14.0,01937
01938,44.20192307692308,13791.0,23.0,312.0,113.0,01938
01940,37.24216524216524,13072.0,82.0,351.0,133.0,01940
01944,71.81333333333333,5386.0,37.0,75.0,68.0,01944
01945,32.338095238095235,20373.0,63.0,630.0,143.0,01945
01949,58.951219512195124,9668.0,19.0,164.0,134.0,01949
01950,82.31390134529148,18356.0,41.0,223.0,119.0,01950
01951,19.05263157894737,2896.0,648.0,152.0,112.0,01951
01952,42.31336405529954,9182.0,20.0,217.0,111.0,01952
01960,61.63854047890536,54057.0,94.0,877.0,242.0,01960
01965,0.0,803.0,696.0,0.0,14.0,01965
01966,34.34975369458128,6973.0,41.0,203.0,89.0,01966
01969,0.0,6175.0,17.0,0.0,19.0,01969
01970,42.890926640926644,44435.0,144.0,1036.0,229.0,01970
01982,47.27950310559006,7612.0,46.0,161.0,72.0,01982
01983,0.0,6532.0,16.0,0.0,19.0,01983
01984,23.830917874396135,4933.0,17.0,207.0,101.0,01984
01985,65.52173913043478,4521.0,18.0,69.0,94.0,01985
02019,68.37349397590361,17025.0,44.0,249.0,114.0,02019
02021,100.80082987551867,24293.0,42.0,241.0,97.0,02021
02025,111.06666666666666,8330.0,19.0,75.0,67.0,02025
02026,34.12483039348711,25150.0,26.0,737.0,210.0,02026
02030,168.17142857142858,5886.0,20.0,35.0,29.0,02030
02032,36.71969696969697,4847.0,694.0,132.0,102.0,02032
02035,115.475,18476.0,22.0,160.0,98.0,02035
02038,113.02413793103449,32777.0,69.0,290.0,138.0,02038
02043,51.259023354564754,24143.0,74.0,471.0,146.0,02043
02045,19.87426326129666,10116.0,20.0,509.0,149.0,02045
02047,2.831168831168831,218.0,174.0,77.0,94.0,02047
02048,86.65818181818182,23831.0,26.0,275.0,161.0,02048
02050,26.019076305220885,25915.0,143.0,996.0,289.0,02050
02052,81.29113924050633,12844.0,20.0,158.0,89.0,02052
02053,212.32258064516128,13164.0,52.0,62.0,42.0,02053
